1047	1568	0.6600
1047	1355	0.6600
1047	1651	0.6600
1047	98	0.5286
1047	920	0.5231
1047	1681	0.5769
1047	680	0.5091
1047	189	0.5769
1047	699	0.5410
1047	1442	0.5410
1047	1816	0.6939
1379	465	0.5952
1379	631	0.5455
1379	1808	0.6667
1379	726	0.7143
1379	1487	0.6250
1379	1745	0.7143
1379	1598	0.6923
1379	1899	0.5800
1379	1384	0.5294
1379	106	0.5400
1379	585	0.7500
1379	1272	0.5814
1379	1909	0.5610
1379	1911	0.6410
1379	1215	0.5745
1379	1879	0.5370
1379	1389	0.6098
1379	1254	0.6000
1379	912	0.5778
1820	1753	0.7872
1820	682	0.7872
1753	682	1.0000
1668	992	0.5079
1668	305	0.7636
1668	1004	0.5574
1668	683	0.5231
1668	1079	0.5152
1668	1076	0.5645
1668	1164	1.0000
1668	1534	0.5385
898	1377	0.8750
898	380	0.8750
898	829	0.6308
898	1792	0.8750
898	1704	0.8750
898	1385	0.6308
898	114	0.5970
898	1905	0.7895
898	410	0.7288
898	390	0.6212
898	347	0.5217
898	200	0.7895
898	927	0.8750
898	866	0.8750
898	1922	0.8750
898	1095	0.6308
898	1235	0.5217
898	669	0.8750
898	597	0.6471
898	370	0.8750
898	1427	0.6308
898	753	0.7895
898	1437	0.7895
898	1860	0.7895
898	1320	0.6935
898	399	0.6667
898	22	0.8750
898	1757	0.6154
898	512	0.5217
898	1405	0.6154
898	1016	0.5217
898	664	0.6081
898	184	0.6308
898	223	0.5263
898	1798	0.6081
898	1207	0.8750
898	1656	0.6308
898	175	0.6935
898	136	0.6029
898	1539	0.5132
898	1807	0.6081
898	236	0.6769
898	104	0.6984
898	810	0.8750
898	886	0.6769
898	1190	0.7895
898	168	0.5217
1485	1611	1.0000
1568	1355	1.0000
1568	1651	1.0000
1568	1173	0.5435
1568	1425	0.7368
1568	1285	0.5435
1568	1408	0.5435
1568	920	0.5926
1568	378	0.5769
1568	1681	0.5682
1568	652	0.5106
1568	680	0.6667
1568	189	0.5682
1568	699	0.5283
1568	1442	0.5283
1568	1875	0.5577
1568	476	0.5577
1568	1816	0.5556
1420	1454	0.6667
1420	1789	0.5122
1420	456	0.5122
1420	641	0.5143
1420	1903	0.5122
1377	380	1.0000
1377	829	0.6667
1377	1792	1.0000
1377	1704	1.0000
1377	1385	0.6667
1377	114	0.6825
1377	1905	0.8036
1377	410	0.7414
1377	390	0.7097
1377	347	0.6000
1377	200	0.8036
1377	927	1.0000
1377	866	1.0000
1377	1922	1.0000
1377	1095	0.6667
1377	1235	0.6000
1377	669	1.0000
1377	597	0.7344
1377	370	1.0000
1377	419	0.5224
1377	1427	0.6667
1377	753	0.8036
1377	1437	0.8036
1377	1860	0.8036
1377	1320	0.7049
1377	399	0.6786
1377	22	1.0000
1377	1757	0.7049
1377	512	0.6000
1377	1405	0.7049
1377	1016	0.6000
1377	1208	0.5224
1377	4	0.5672
1377	396	0.5224
1377	335	0.5224
1377	411	0.5224
1377	315	0.5224
1377	571	0.5224
1377	1744	0.5224
1377	664	0.6620
1377	184	0.6667
1377	1123	0.5224
1377	223	0.5132
1377	1798	0.6620
1377	1207	1.0000
1377	1656	0.6667
1377	175	0.7049
1377	136	0.6364
1377	1539	0.5200
1377	1807	0.6620
1377	236	0.6875
1377	104	0.7097
1377	810	1.0000
1377	886	0.6875
1377	1190	0.8036
1377	168	0.6000
1377	1719	0.5224
380	829	0.6667
380	1792	1.0000
380	1704	1.0000
380	1385	0.6667
380	114	0.6825
380	1905	0.8036
380	410	0.7414
