1	90	0.4181
1	104	0.4825
1	114	0.4243
1	206	0.4643
2	376	0.5226
3	97	0.4836
8	87	0.6830
8	299	0.5739
9	109	0.6738
9	303	0.4810
13	426	0.5117
15	159	0.4415
16	188	0.5573
18	277	0.9489
19	275	0.3003
21	119	0.3060
21	136	0.4114
21	332	0.3106
21	337	0.3036
21	348	0.3281
21	383	0.3007
22	247	0.4702
24	100	0.3721
24	237	0.3427
25	255	0.4103
28	30	0.3428
28	203	0.3689
30	203	0.3680
32	69	0.3202
32	112	0.3026
32	288	0.3137
32	422	0.8489
32	438	0.4333
36	266	0.8923
39	321	0.5162
41	127	0.4458
41	143	0.4788
42	229	0.3818
43	110	0.6103
43	137	0.5234
46	78	0.4543
46	183	0.4361
47	380	0.4788
49	296	0.4541
51	404	0.3013
54	55	0.4210
56	479	0.5629
61	133	0.4963
67	236	0.9449
68	96	0.4075
68	146	0.3497
68	270	0.7977
69	288	0.8748
69	422	0.3314
69	438	0.4009
76	91	0.8002
76	162	0.5328
76	199	0.3373
76	211	0.5124
76	256	0.4937
78	183	0.4147
79	128	0.7313
79	307	0.3287
83	170	0.3003
83	335	0.3371
86	204	0.5786
87	299	0.6182
90	104	0.3878
90	114	0.5545
90	206	0.3883
91	162	0.5101
91	199	0.3341
91	211	0.4836
91	256	0.4846
96	146	0.3948
96	270	0.4075
100	237	0.4701
104	114	0.4104
104	206	0.4688
105	367	0.4305
107	218	0.3888
109	303	0.4854
110	137	0.5421
112	422	0.3062
113	225	0.4523
114	206	0.3858
115	230	0.6279
117	435	0.3828
118	165	0.7419
119	136	0.3691
119	332	0.6912
119	337	0.7480
119	348	0.5493
119	383	0.6675
124	341	0.5057
127	143	0.4590
128	307	0.3452
129	208	0.9383
129	363	0.9436
136	332	0.3717
136	337	0.3649
136	348	0.4017
136	383	0.3650
146	270	0.3602
148	189	0.5530
148	279	0.5537
149	209	0.3056
152	253	0.3480
155	289	0.4573
157	262	0.6006
162	199	0.3190
162	211	0.5740
162	256	0.4613
170	335	0.3353
171	177	0.8865
186	366	0.3087
189	279	0.5713
199	211	0.3200
199	256	0.3265
208	363	0.9571
211	256	0.4840
216	378	0.6089
216	431	0.3681
216	454	0.3820
216	464	0.4083
217	474	0.4558
224	235	0.8666
239	311	0.3572
251	260	0.3626
257	443	0.3487
257	453	0.3324
269	289	0.3103
282	286	0.5082
282	305	0.5915
286	305	0.6055
288	422	0.3227
288	438	0.3865
293	301	0.4324
297	381	0.5030
297	423	0.6117
313	416	0.3593
313	463	0.3214
319	328	0.3674
319	420	0.3631
324	325	0.3538
324	452	0.3816
325	452	0.4493
328	420	0.6159
329	421	0.4608
329	460	0.3811
332	337	0.7140
332	348	0.5536
332	383	0.6719
337	348	0.5490
337	383	0.6734
348	383	0.5463
358	388	0.3081
365	368	0.3620
372	409	0.3580
378	431	0.4073
378	454	0.4005
378	464	0.4288
381	423	0.6030
415	416	0.3857
416	463	0.3259
421	460	0.3891
422	438	0.4467
434	437	0.3136
454	464	0.6570
